Coin Name,Coin Price,Market Cap,Volume,Supply
Bitcoin,"$86,324.90","$1,717,129,111,042","$155,829,920,352","19,781,253 BTC"
Ethereum,"$3,270.57","$394,842,933,706","$69,893,457,781","120,423,718 ETH"
Tether,$1.00,"$124,096,021,900","$296,868,530,892","124,012,870,444 USDT"
Solana,$212.28,"$100,178,622,999","$12,471,335,737","471,915,687 SOL"
BNB,$628.98,"$90,636,127,173","$4,126,007,163","144,099,208 BNB"
Dogecoin,$0.3734,"$54,805,987,245","$40,177,119,517","146,761,706,384 DOGE"
XRP,$0.6983,"$39,712,719,713","$9,321,714,088","56,868,662,755 XRP"
USDC,$0.9997,"$36,572,295,347","$22,743,337,748","36,583,809,662 USDC"
Cardano,$0.578,"$20,239,590,831","$3,329,707,091","35,018,528,522 ADA"
TRON,$0.1783,"$15,406,941,475","$1,766,608,875","86,402,457,783 TRX"
Shiba Inu,$0.00002577,"$15,184,605,140","$6,319,087,230","589,260,555,848,326 SHIB"
Avalanche,$34.30,"$13,972,820,009","$2,158,469,586","407,324,948 AVAX"
Toncoin,$5.33,"$13,560,565,219","$828,095,340","2,545,476,920 TON"
Chainlink,$14.09,"$8,829,354,738","$1,277,811,925","626,849,970 LINK"
Sui,$3.06,"$8,705,910,067","$3,106,428,704","2,845,750,696 SUI"
Bitcoin Cash,$433.43,"$8,576,425,092","$1,361,485,812","19,787,322 BCH"
Polkadot,$5.34,"$8,097,042,785","$1,136,834,726","1,517,342,700 DOT"
Aptos,$12.59,"$6,548,379,051","$1,602,948,989","520,281,993 APT"
NEAR Protocol,$5.14,"$6,263,651,706","$1,644,492,715","1,217,906,155 NEAR"
Litecoin,$76.43,"$5,746,752,573","$1,705,072,892","75,187,743 LTC"
UNUS SED LEO,$6.19,"$5,729,115,352","$11,341,111","924,920,702 LEO"
Pepe,$0.00001297,"$5,454,845,964","$6,801,660,265","420,689,899,999,995 PEPE"
Uniswap,$8.94,"$5,366,945,685","$1,385,826,815","600,425,074 UNI"
Dai,$0.9999,"$5,365,010,590","$301,980,506","5,365,382,703 DAI"
Cronos,$0.173,"$4,596,186,424","$1,221,922,920","26,571,560,696 CRO"
Internet Computer,$8.84,"$4,189,600,533","$302,031,867","473,959,400 ICP"
Bittensor,$545.13,"$4,023,576,976","$755,059,257","7,380,936 TAO"
Stellar,$0.124,"$3,702,831,960","$510,211,669","29,869,169,340 XLM"
Render,$6.98,"$3,613,624,398","$2,201,188,278","517,690,747 RENDER"
Artificial Superintelligence Alliance,$1.43,"$3,489,057,145","$858,508,672","2,434,942,503 FET"
Kaspa,$0.1382,"$3,472,586,551","$312,876,255","25,123,295,125 KAS"
Ethereum Classic,$22.54,"$3,370,214,465","$760,922,934","149,518,797 ETC"
POL (ex-MATIC),$0.3959,"$3,079,271,440","$542,975,187","7,777,471,082 POL"
Stacks,$2.00,"$3,002,316,586","$740,286,364","1,500,399,558 STX"
dogwifhat,$2.93,"$2,925,364,767","$2,098,802,062","998,844,889 WIF"
Monero,$156.59,"$2,888,625,501","$96,644,213","18,446,744 XMR"
Aave,$179.82,"$2,693,037,420","$679,372,150","14,976,413 AAVE"
OKB,$44.54,"$2,672,137,196","$17,943,637","60,000,000 OKB"
Filecoin,$4.25,"$2,543,639,779","$737,175,975","598,560,084 FIL"
Arbitrum,$0.6286,"$2,499,111,186","$1,139,580,974","3,975,409,060 ARB"
Mantle,$0.7389,"$2,487,835,761","$182,393,973","3,366,841,708 MNT"
Injective,$24.22,"$2,394,057,819","$420,294,529","98,848,020 INJ"
First Digital USD,$0.9987,"$2,321,182,762","$21,152,933,614","2,324,214,272 FDUSD"
Bonk,$0.00002993,"$2,242,245,328","$1,613,940,518","74,924,230,610,634 BONK"
Immutable,$1.31,"$2,189,224,088","$236,083,154","1,670,248,659 IMX"
Celestia,$5.20,"$2,152,664,595","$577,500,193","414,090,069 TIA"
VeChain,$0.02645,"$2,142,305,384","$144,875,561","80,985,041,177 VET"
Fantom,$0.747,"$2,094,286,138","$695,904,532","2,803,634,836 FTM"
Cosmos,$5.29,"$2,069,342,948","$438,946,828","390,934,204 ATOM"
Optimism,$1.64,"$2,060,895,753","$838,987,771","1,255,070,491 OP"
Hedera,$0.05439,"$2,049,564,012","$236,071,675","37,680,393,060 HBAR"
THORChain,$5.80,"$1,960,923,757","$686,017,773","338,134,689 RUNE"
Bitget Token,$1.40,"$1,953,171,790","$98,493,492","1,400,000,000 BGB"
Sei,$0.4617,"$1,862,151,189","$801,203,512","4,033,055,555 SEI"
FLOKI,$0.0001907,"$1,831,361,006","$1,263,156,982","9,602,354,516,977 FLOKI"
The Graph,$0.1877,"$1,792,216,067","$257,799,148","9,548,531,509 GRT"
Ethena,$0.5977,"$1,698,764,535","$741,348,462","2,842,187,500 ENA"
Jupiter,$1.15,"$1,551,485,038","$451,944,325","1,350,000,000 JUP"
Popcat (SOL),$1.56,"$1,528,464,888","$239,426,303","979,973,185 POPCAT"
Worldcoin,$2.41,"$1,529,225,369","$1,828,336,203","635,266,594 WLD"
Pyth Network,$0.4062,"$1,472,407,385","$374,687,645","3,624,988,786 PYTH"
Theta Network,$1.43,"$1,430,188,167","$119,074,364","1,000,000,000 THETA"
Maker,"$1,489.51","$1,309,539,292","$280,540,271","879,173 MKR"
KuCoin Token,$10.80,"$1,298,868,552","$3,193,880","120,257,114 KCS"
Algorand,$0.149,"$1,232,087,047","$195,884,891","8,269,287,378 ALGO"
Ondo,$0.8821,"$1,225,890,628","$514,647,626","1,389,759,838 ONDO"
Arweave,$18.04,"$1,184,493,151","$300,931,133","65,652,466 AR"
Raydium,$4.50,"$1,187,479,094","$292,095,470","264,060,322 RAY"
Brett (Based),$0.1172,"$1,161,734,165","$178,944,328","9,910,236,395 BRETT"
Bitcoin SV,$57.99,"$1,147,116,845","$130,327,085","19,782,859 BSV"
MANTRA,$1.34,"$1,142,994,124","$101,820,878","855,144,971 OM"
Neiro (First Neiro On Ethereum),$0.002645,"$1,112,520,961","$2,024,649,979","420,682,127,976 NEIRO"
BitTorrent [New],$0.051092,"$1,057,692,838","$182,303,766","968,246,428,571,000 BTT"
Lido DAO,$1.18,"$1,056,883,212","$405,626,989","895,723,571 LDO"
Starknet,$0.4935,"$1,035,983,948","$379,569,684","2,099,455,075 STRK"
Beam,$0.021,"$1,038,567,928","$80,688,338","49,466,004,168 BEAM"
Helium,$6.02,"$1,025,551,773","$58,280,407","170,472,132 HNT"
JasmyCoin,$0.0205,"$1,012,802,712","$302,354,698","49,394,999,677 JASMY"
Polygon,$0.3919,"$985,870,777","$45,979,145","2,515,659,140 MATIC"
Aerodrome Finance,$1.42,"$966,382,984","$78,930,293","680,497,716 AERO"
Gala,$0.02682,"$957,912,728","$556,543,747","35,710,930,577 GALA"
Goatseus Maximus,$0.9283,"$928,305,534","$327,327,033","999,998,208 GOAT"
Core,$1.00,"$923,988,266","$163,115,682","920,521,115 CORE"
Flow,$0.595,"$918,259,353","$121,902,230","1,543,309,837 FLOW"
Pendle,$5.38,"$879,994,327","$328,448,698","163,524,376 PENDLE"
GateToken,$9.65,"$878,565,412","$6,481,349","91,015,068 GT"
cat in a dogs world,$0.00974,"$865,786,331","$493,626,655","88,888,888,888 MEW"
ORDI,$40.34,"$847,099,753","$658,331,437","21,000,000 ORDI"
MultiversX,$30.91,"$851,357,169","$76,374,324","27,545,095 EGLD"
EOS,$0.551,"$841,360,054","$343,379,363","1,526,927,709 EOS"
Axie Infinity,$5.39,"$825,471,704","$143,698,559","153,263,427 AXS"
ApeCoin,$1.08,"$811,908,543","$381,608,790","752,651,515 APE"
eCash,$0.00004027,"$796,631,050","$166,061,824","19,783,345,297,584 XEC"
Neo,$11.33,"$799,093,820","$107,951,180","70,538,831 NEO"
AIOZ Network,$0.6851,"$778,078,562","$88,780,353","1,135,748,973 AIOZ"
Quant,$63.71,"$769,095,199","$47,293,490","12,072,738 QNT"
Nexo,$1.19,"$768,466,132","$20,649,943","646,145,840 NEXO"
Akash Network,$3.12,"$775,513,794","$145,061,230","248,285,795 AKT"
dYdX (Native),$1.19,"$765,064,538","$158,239,024","643,931,707 DYDX"
Flare,$0.01465,"$769,090,532","$14,990,690","52,480,714,594 FLR"
USDD,$1.00,"$754,890,976","$13,759,469","753,768,330 USDD"
Mina,$0.6272,"$740,650,349","$149,040,250","1,180,911,393 MINA"
Notcoin,$0.007162,"$733,765,283","$600,327,426","102,456,957,534 NOT"
Conflux,$0.1582,"$732,049,183","$186,266,749","4,626,278,724 CFX"
Tezos,$0.7146,"$723,267,277","$63,082,143","1,012,124,219 XTZ"
Kaia,$0.123,"$721,802,765","$43,540,853","5,867,595,957 KAIA"
The Sandbox,$0.2937,"$703,119,573","$234,018,456","2,394,232,126 SAND"
Mog Coin,$0.051795,"$701,118,971","$74,614,305","390,567,526,433,217 MOG"
Decentraland,$0.3603,"$699,724,953","$176,653,765","1,942,255,184 MANA"
SuperVerse,$1.41,"$688,295,077","$62,229,755","487,976,093 SUPER"
Wormhole,$0.2515,"$685,253,117","$230,216,130","2,725,129,998 W"
Zcash,$41.66,"$680,271,071","$131,551,294","16,328,269 ZEC"
Gnosis,$260.71,"$675,119,427","$8,423,393","2,589,588 GNO"
Tether Gold,"$2,605.36","$642,284,773","$7,457,432","246,524 XAUt"
Axelar,$0.7611,"$639,995,679","$39,946,133","840,929,095 AXL"
FTX Token,$1.92,"$629,945,023","$59,578,900","328,895,104 FTT"
BOOK OF MEME,$0.009091,"$626,924,685","$906,257,329","68,957,541,031 BOME"
Ethereum Name Service,$18.14,"$618,914,513","$395,573,287","34,126,718 ENS"
Chiliz,$0.0664,"$605,705,147","$275,252,252","9,121,824,867 CHZ"
Nervos Network,$0.01326,"$597,849,022","$182,461,491","45,074,801,311 CKB"
Oasis,$0.08051,"$568,713,810","$117,218,837","7,064,132,681 ROSE"
ZKsync,$0.1518,"$557,804,765","$277,053,382","3,675,000,000 ZK"
Terra Classic,$0.0001012,"$552,727,083","$131,166,628","5,460,586,667,775 LUNC"
SATS,$0.0002586,"$543,102,198","$188,579,999","2,100,000,000,000 1000SATS"
Ronin,$1.52,"$545,754,255","$32,761,642","360,013,411 RON"
PancakeSwap,$1.94,"$542,442,451","$177,823,938","279,852,287 CAKE"
PayPal USD,$0.9993,"$536,302,723","$34,420,686","536,660,090 PYUSD"
Safe,$1.14,"$530,101,188","$71,510,744","463,757,969 SAFE"
EigenLayer,$2.82,"$525,450,619","$284,787,937","186,582,000 EIGEN"
Synthetix,$1.58,"$517,404,856","$106,397,573","327,769,196 SNX"
DeXe,$9.05,"$516,768,223","$7,255,138","57,103,248 DEXE"
PAX Gold,"$2,574.25","$508,643,133","$49,370,272","197,589 PAXG"
Blur,$0.2516,"$503,519,909","$372,860,821","2,001,185,706 BLUR"
IOTA,$0.1422,"$497,347,957","$65,639,479","3,497,433,380 IOTA"
APENFT,$0.064954,"$495,534,786","$57,717,784","999,990,000,000,000 NFT"
TrueUSD,$1.00,"$495,664,773","$80,953,883","495,601,553 TUSD"
Arkham,$2.15,"$484,898,372","$365,062,169","225,100,000 ARKM"
Bitcoin Gold,$27.01,"$473,030,574","$48,499,428","17,513,924 BTG"
XDC Network,$0.03077,"$459,525,145","$12,097,795","14,932,919,360 XDC"
Compound,$50.45,"$445,999,799","$103,829,851","8,840,846 COMP"
WOO,$0.2407,"$443,502,930","$75,599,475","1,842,894,958 WOO"
Astar,$0.05954,"$440,687,141","$74,380,201","7,400,970,731 ASTR"
GMT,$0.1457,"$434,201,361","$69,283,649","2,979,926,955 GMT"
Trust Wallet Token,$1.03,"$428,907,878","$32,629,217","416,649,900 TWT"
Kava,$0.3953,"$428,004,527","$90,596,300","1,082,854,238 KAVA"
Theta Fuel,$0.06116,"$412,426,793","$38,740,684","6,742,858,634 TFUEL"
LayerZero,$3.67,"$403,307,891","$238,979,960","110,000,000 ZRO"
Livepeer,$11.22,"$401,564,498","$98,317,066","35,779,519 LPT"
Baby Doge Coin,$0.082477,"$395,578,221","$193,438,504","159,723,678,937,064,672 BabyDoge"
Memecoin,$0.01307,"$397,400,310","$244,450,892","30,403,333,049 MEME"
IoTeX,$0.04111,"$388,117,033","$27,984,005","9,441,369,060 IOTX"
ZetaChain,$0.7392,"$382,799,644","$244,307,446","517,854,167 ZETA"
Reserve Rights,$0.007235,"$381,599,617","$40,806,415","52,743,442,836 RSR"
Jito,$2.90,"$373,044,861","$228,757,391","128,778,576 JTO"
1inch Network,$0.2927,"$374,243,104","$101,351,054","1,278,396,644 1INCH"
Celo,$0.6711,"$371,669,648","$111,314,995","553,833,395 CELO"
EthereumPoW,$3.39,"$365,791,320","$54,409,587","107,818,999 ETHW"
Holo,$0.002077,"$361,384,648","$73,812,102","174,001,740,588 HOT"
Dymension,$1.69,"$360,676,274","$477,086,769","213,985,750 DYM"
Echelon Prime,$9.74,"$348,383,872","$48,928,798","35,773,841 PRIME"
SafePal,$0.7093,"$345,789,378","$14,919,561","487,500,000 SFP"
ether.fi,$1.66,"$344,360,632","$452,110,634","207,550,055 ETHFI"
Amp,$0.004195,"$338,625,461","$35,011,081","80,722,574,661 AMP"
Golem,$0.3357,"$335,717,510","$48,783,215","1,000,000,000 GLM"
SPACE ID,$0.4293,"$333,785,251","$95,992,434","777,571,070 ID"
Osmosis,$0.4845,"$335,938,915","$25,075,439","693,416,239 OSMO"
Curve DAO Token,$0.2706,"$329,786,670","$228,823,805","1,218,803,133 CRV"
Zilliqa,$0.01716,"$328,577,686","$124,816,164","19,149,200,470 ZIL"
DOGS,$0.0006197,"$320,238,188","$524,728,088","516,750,000,000 DOGS"
Aevo,$0.3605,"$318,667,799","$173,961,330","884,024,196 AEVO"
Mask Network,$3.17,"$317,329,279","$842,736,172","100,000,000 MASK"
WEMIX,$0.7754,"$320,304,476","$2,232,282","413,067,220 WEMIX"
JUST,$0.03174,"$314,258,637","$73,187,460","9,900,000,000 JST"
Manta Network,$0.807,"$309,437,585","$113,114,743","383,458,790 MANTA"
ConstitutionDAO,$0.06107,"$309,003,642","$589,852,726","5,060,137,335 PEOPLE"
Dash,$25.69,"$308,849,046","$87,385,942","12,022,944 DASH"
0x Protocol,$0.363,"$307,955,838","$80,988,445","848,396,563 ZRX"
Kusama,$19.21,"$301,838,237","$43,651,635","15,709,242 KSM"
Metis,$49.71,"$303,317,467","$47,742,376","6,101,334 METIS"
Siacoin,$0.005241,"$302,616,825","$83,440,500","57,740,391,700 SC"
OriginTrail,$0.7238,"$300,380,967","$3,478,047","414,993,782 TRAC"
Ankr,$0.02948,"$294,833,850","$47,620,266","10,000,000,000 ANKR"
io.net,$2.45,"$294,533,342","$562,402,380","120,286,834 IO"
Gas,$4.41,"$286,904,953","$150,164,406","64,992,331 GAS"
Enjin Coin,$0.1631,"$288,532,181","$43,760,808","1,768,617,010 ENJ"
Basic Attention Token,$0.1889,"$282,540,706","$45,414,793","1,495,658,357 BAT"
Ravencoin,$0.01933,"$280,132,069","$28,548,282","14,490,289,337 RVN"
Qtum,$2.65,"$279,523,988","$68,500,390","105,395,697 QTUM"
aelf,$0.377,"$276,713,429","$27,411,674","733,986,254 ELF"
MX Token,$2.85,"$276,177,353","$80,603,108","96,781,834 MX"
Terra,$0.3827,"$271,723,101","$113,104,035","709,984,439 LUNA"
Ponke,$0.4857,"$269,814,101","$70,087,005","555,544,226 PONKE"
Hamster Kombat,$0.004206,"$270,766,042","$514,491,572","64,375,000,000 HMSTR"
dYdX (ethDYDX),$1.19,"$260,893,599","$85,658,352","219,861,513 ETHDYDX"
GMX,$26.22,"$257,445,796","$32,130,326","9,818,579 GMX"
Altlayer,$0.1123,"$256,273,399","$126,803,061","2,282,694,196 ALT"
Gravity,$0.03063,"$249,832,172","$51,905,918","8,155,720,000 G"
Threshold,$0.02455,"$245,317,600","$92,038,025","9,992,913,006 T"
Polymesh,$0.2637,"$238,066,101","$64,204,756","902,770,050 POLYX"
ssv.network,$20.34,"$235,142,127","$93,472,298","11,558,205 SSV"
Ethena USDe,$1.00,"$2,998,738,341","$109,635,697","2,994,106,975 USDe"
Zeebu,$5.01,"$1,297,146,242","$3,535,525","258,970,840 ZBU"
Fellaz,$2.28,"$1,077,788,047","$3,910,934","471,874,940 FLZ"
Fasttoken,$3.04,"$927,664,331","$779,312,045","304,850,250 FTN"
Grass,$3.02,"$735,870,251","$404,731,440","243,905,091 GRASS"
SPX6900,$0.715,"$665,629,720","$41,174,360","930,993,090 SPX"
Frax,$0.9958,"$646,686,519","$37,811,775","649,433,438 FRAX"
Cheelee,$11.20,"$636,193,716","$5,612,726","56,799,477 CHEEL"
PepeCoin,$4.86,"$581,775,679","$11,784,785","119,787,624 PEPECOIN"
Turbo,$0.008703,"$568,316,762","$533,413,679","65,300,000,000 TURBO"
Act I : The AI Prophecy,$0.5813,"$551,209,591","$998,709,772","948,246,601 ACT"
Beldex,$0.08071,"$539,241,905","$11,459,338","6,681,466,913 BDX"
Gigachad,$0.05185,"$482,362,060","$46,889,095","9,302,411,888 GIGA"
Meta Games Coin,$0.4299,"$472,878,503","$535,461","1,099,999,700 MGC"
Peanut the Squirrel,$0.4476,"$447,557,960","$997,663,516","999,855,872 PNUT"
Ondo US Dollar Yield,$1.08,"$445,211,879","$15,075,530","414,090,293 USDY"
Dog (Runes),$0.004062,"$406,211,908","$29,628,601","100,000,000,000 DOG"
Orbler,$0.3885,"$394,584,766","$132,321","1,015,586,750 ORBR"
Virtuals Protocol,$0.3884,"$388,405,541","$12,487,541","1,000,000,000 VIRTUAL"
Baby Doge Coin,$0.0025,"$383,053,599","$185,899,669","153,207,109,892 1MBABYDOGE"
Drift,$1.35,"$346,346,149","$306,794,994","256,462,324 DRIFT"
Apu Apustaja,$0.001068,"$342,226,703","$16,370,721","320,385,865,167 APU"
Moo Deng (moodengsol.com),$0.3427,"$339,263,934","$166,307,610","989,971,791 MOODENG"
FLEX,$3.30,"$325,858,849",,"98,664,939 FLEX"
Aethir,$0.06525,"$319,669,692","$252,506,655","4,899,191,969 ATH"
VerusCoin,$4.11,"$319,279,225","$46,274","77,772,887 VRSC"
Aleo,$1.27,"$307,333,645","$13,101,419","242,884,256 ALEO"
MimbleWimbleCoin,$27.44,"$300,938,646","$4,338","10,967,866 MWC"
Tribe,$0.53,"$287,648,661","$144,824","542,735,564 TRIBE"
Metaplex,$0.3756,"$283,871,009","$3,011,363","755,813,146 MPLX"
Non-Playable Coin,$0.03864,"$280,763,516","$20,465,883","7,266,419,612 NPC"
Chintai,$0.2844,"$277,207,102","$1,220,911","974,806,675 CHEX"
Degen,$0.01906,"$270,245,548","$282,665,499","14,179,608,879 DEGEN"
Osaka Protocol,$0.063514,"$263,859,129","$750,153","750,869,738,630,302 OSAK"
Destra Network,$0.2538,"$245,512,100","$5,633,986","967,448,144 DSYNC"
HarryPotterObamaSonic10Inu (ERC-20),$0.236,"$235,921,839","$11,752,741","999,798,155 BITCOIN"
Simon's Cat,$0.00003476,"$234,661,884","$117,686,310","6,749,954,952,891 CAT"
Hivemapper,$0.07963,"$231,510,778","$3,015,079","2,907,150,553 HONEY"
michi (SOL),$0.4172,"$231,848,202","$16,865,927","555,768,315 $MICHI"
Rocket Pool,$10.88,"$226,681,326","$13,736,652","20,831,680 RPL"
X Empire,$0.0003294,"$227,302,394","$1,022,274,505","690,000,000,000 X"
VVS Finance,$0.054778,"$226,003,646","$6,698,704","47,303,038,134,009 VVS"
Solar,$0.3611,"$225,123,780","$580,046,143","623,384,002 SXP"
UMA,$2.59,"$222,405,584","$38,335,676","86,028,981 UMA"
SKALE,$0.04013,"$222,302,497","$46,255,450","5,538,894,337 SKL"
Rollbit Coin,$0.09395,"$221,794,661","$3,737,857","2,360,712,084 RLB"
Decred,$13.45,"$221,078,665","$2,236,703","16,438,924 DCR"
Department Of Government Efficiency (dogegov.com),$0.2249,"$220,245,997","$17,072,455","979,133,701 DOGE"
Biconomy,$0.2496,"$217,718,501","$24,908,030","872,405,610 BICO"
Pixels,$0.19,"$217,580,949","$134,829,327","1,144,999,005 PIXEL"
Flux,$0.5795,"$217,117,051","$27,631,646","374,668,559 FLUX"
Avail,$0.1154,"$213,180,484","$4,093,376","1,846,524,450 AVAIL"
Telcoin,$0.002311,"$211,765,213","$2,930,973","91,649,420,414 TEL"
yearn.finance,"$6,321.39","$212,203,270","$102,390,038","33,569 YFI"
Harmony,$0.01486,"$212,009,407","$22,881,956","14,266,759,836 ONE"
Illuvium,$41.36,"$210,006,191","$78,959,039","5,077,922 ILV"
BinaryX,$0.5634,"$209,637,064","$56,063,124","372,065,870 BNX"
Saga,$1.98,"$209,367,637","$218,923,341","105,742,083 SAGA"
Banana Gun,$60.42,"$208,133,868","$131,965,914","3,444,596 BANANA"
Chia,$14.77,"$204,948,380","$10,825,261","13,872,256 XCH"
SwissBorg,$0.2074,"$204,073,134","$2,938,720","983,729,858 BORG"
Convex Finance,$2.05,"$203,878,417","$23,657,411","99,241,742 CVX"
SushiSwap,$0.7711,"$201,833,031","$112,219,248","261,751,464 SUSHI"
Sun [New],$0.02063,"$201,659,977","$95,446,978","9,773,878,140 SUN"
Tellor,$76.78,"$201,462,226","$329,290,716","2,623,980 TRB"
Cetus Protocol,$0.3318,"$200,703,885","$196,307,377","604,809,363 CETUS"
Delysium,$0.1956,"$197,419,320","$73,843,810","1,009,408,096 AGI"
Qubic,$0.051671,"$198,840,001","$8,637,020","119,001,502,679,038 QUBIC"
Blast,$0.008968,"$198,335,463","$64,196,420","22,116,790,174 BLAST"
Yield Guild Games,$0.5091,"$197,153,318","$122,866,836","387,236,606 YGG"
Big Time,$0.1638,"$197,077,402","$203,233,820","1,202,925,736 BIGTIME"
Loopring,$0.143,"$195,513,375","$39,169,181","1,366,806,970 LRC"
Ultima,"$6,069.72","$194,413,103","$4,213,952","32,030 ULTIMA"
Band Protocol,$1.26,"$193,433,509","$15,152,927","153,214,739 BAND"
PAAL AI,$0.2338,"$191,592,757","$11,163,038","819,528,083 PAAL"
ANDY (ETH),$0.0001895,"$189,474,628","$7,572,642","1,000,000,000,000 ANDY"
Storj,$0.4749,"$189,175,955","$62,631,815","398,317,323 STORJ"
COTI,$0.1055,"$189,007,398","$35,021,381","1,792,309,031 COTI"
Bitcoin Wizards,$8.60,"$180,500,245","$653,285","21,000,000 WZRD"
Orca,$3.55,"$187,598,241","$10,242,158","52,843,430 ORCA"
Xai,$0.2423,"$186,154,861","$196,927,690","768,240,191 XAI"
UPCX,$3.78,"$185,310,566","$904,767","49,046,439 UPC"
Frax Share,$2.17,"$184,017,450","$31,749,048","84,695,185 FXS"
Alchemy Pay,$0.02203,"$183,615,270","$53,549,768","8,333,311,738 ACH"
Ontology,$0.2022,"$183,530,019","$26,868,250","907,697,857 ONT"
Nosana,$3.80,"$183,270,821","$5,998,472","48,197,665 NOS"
Merlin Chain,$0.3466,"$181,989,755","$56,726,687","525,000,000 MERL"
Kadena,$0.6098,"$180,856,346","$26,606,333","296,581,894 KDA"
Centrifuge,$0.3562,"$179,904,111","$1,725,269","505,039,337 CFG"
DeepBook Protocol,$0.07181,"$179,528,435","$44,138,895","2,500,000,000 DEEP"
USDB,$0.9955,"$179,322,828","$54,687,712","180,128,095 USDB"
Mumu the Bull (SOL),$0.00007828,"$178,728,067","$20,814,574","2,283,204,416,985 MUMU"
Creditcoin,$0.4466,"$175,098,460","$24,027,839","392,084,779 CTC"
Open Campus,$0.5157,"$174,983,730","$39,853,188","339,343,750 EDU"
Zignaly,$0.1213,"$173,857,342","$11,406,643","1,433,308,739 ZIG"
RETARDIO,$0.1774,"$173,073,605","$9,086,119","975,671,265 RETARDIO"
Audius,$0.1351,"$172,165,744","$37,122,703","1,274,403,665 AUDIO"
Moonbeam,$0.1862,"$171,137,697","$23,716,523","919,230,970 GLMR"
Metars Genesis,$1.99,"$167,739,456","$612,821","84,235,303 MRS"
Mr Mint,$0.4792,"$167,650,020","$262,928","349,855,660 MNT"
Gomining,$0.4007,"$166,291,631","$13,333,365","415,005,960 Gomining"
NEM,$0.01804,"$162,390,157","$54,037,373","8,999,999,999 XEM"
VeThor Token,$0.001957,"$161,967,271","$21,179,223","82,748,808,674 VTHO"
SUNDOG,,"$159,886,208","$125,720,690","997,420,635 SUNDOG"
Clearpool,$0.2299,"$162,243,566","$4,144,293","705,843,717 CPOOL"
BounceBit,$0.3387,"$159,637,737","$137,493,175","471,349,315 BB"
BasedAI,$4.56,"$157,899,355","$5,605,852","34,599,420 BASEDAI"
Spectral,$11.38,"$157,124,671","$18,250,967","13,804,697 SPEC"
Elixir deUSD,$0.9993,"$156,589,596","$11,883,061","156,697,153 DEUSD"
Vanar Chain,$0.09575,"$156,107,402","$41,875,983","1,630,356,743 VANRY"
H2O DAO,$0.1886,"$155,585,138","$746,117","825,000,000 H2O"
Fartcoin,$0.1555,"$155,480,003","$55,394,590","999,998,256 FARTCOIN"
Chromia,$0.1873,"$155,080,118","$32,781,257","827,798,270 CHR"
Bitkub Coin,$2.25,"$155,049,656","$3,846,561","68,974,776 KUB"
Lisk,$0.9435,"$153,453,323","$66,920,023","162,644,514 LSK"
ICON,$0.1479,"$152,481,204","$17,312,885","1,031,102,073 ICX"
USDJ,$1.14,"$147,427,631","$299,402","129,304,447 USDJ"
JOE,$0.3949,"$146,903,080","$37,333,141","371,979,519 JOE"
LUCE,$0.1452,"$145,175,414","$123,907,147","999,999,996 LUCE"
PAAL AI,$0.1761,"$144,307,073","$12,926,105","819,528,083 PAAL"
0x0.ai,$0.1648,"$143,164,707","$1,930,778","868,563,455 0x0"
API3,$1.64,"$141,889,821","$51,031,415","86,421,978 API3"
Horizen,$9.04,"$141,420,704","$20,238,543","15,641,594 ZEN"
Arcblock,$1.44,"$141,444,212","$2,749,803","98,554,305 ABT"
Tethereum,$0.03608,"$139,929,235","$6,654","3,878,729,996 T99"
